Tiempo_Respuesta,Tiempo_comunidad,Sexo,Trabaja,Edad,Familia,Hobbies,Club_Social,Politica,Profesional,Medioambiente,Grupo_Apoyo
8.71,Corto,M,No,53,1,0,0,0,0,0,0
5.24,Medio,F,No,31,0,0,0,0,0,1,1
4.22,Medio,M,No,42,1,1,0,0,1,0,0
4.81,Largo,F,No,30,0,0,0,0,0,0,0
3.95,Largo,M,Si,29,0,0,0,1,1,0,1
9.35,Largo,F,No,40,0,0,0,0,1,0,0
2.91,Medio,F,Si,33,0,0,0,0,0,0,1
4.54,Medio,M,Si,27,1,1,1,0,0,1,0
4.79,Corto,F,No,50,1,1,0,0,1,1,0
3.07,Medio,M,No,28,0,0,0,0,0,1,1
2.2,Medio,F,No,20,1,1,0,0,1,0,0
2.77,Medio,F,Si,54,1,0,1,0,0,1,0
7.32,Largo,M,Si,48,1,0,0,0,0,0,0
2.23,Corto,F,Si,48,0,0,0,0,1,0,0
2.13,Medio,F,No,25,1,1,1,0,0,1,0
7.15,Corto,F,Si,25,0,0,0,0,0,0,0
8.63,Largo,M,Si,38,1,0,0,0,1,1,0
3.77,Medio,F,Si,34,0,0,0,0,0,0,0
2.2,Medio,F,Si,32,0,0,0,0,0,1,0
6.52,Largo,F,Si,43,1,0,0,0,0,0,1
6.42,Medio,M,Si,43,1,1,0,0,0,0,1
7.4,Medio,F,Si,49,0,1,0,0,1,1,0
6.33,Corto,F,Si,43,0,1,0,0,1,1,0
4.45,Medio,M,Si,49,1,0,1,0,1,0,0
6.1,Medio,M,Si,35,1,1,0,0,0,0,0
3.19,Largo,F,Si,29,0,0,0,0,1,0,0
6.62,Corto,F,No,34,0,0,0,0,1,0,1
8.57,Largo,M,Si,38,0,0,0,0,0,0,0
9.04,Medio,F,Si,34,0,0,0,0,0,0,0
9.97,Corto,M,No,54,1,0,1,0,0,1,0
8.12,Medio,M,No,41,1,0,0,0,1,0,0
7.96,Medio,F,Si,52,0,1,0,0,0,1,1
2.95,Largo,F,Si,53,0,0,0,0,0,1,0
6.2,Medio,F,No,49,0,0,0,0,0,1,0
2.17,Largo,M,Si,49,0,1,0,0,0,1,0
5.85,Corto,M,Si,32,0,0,0,0,0,1,0
9.42,Largo,M,Si,42,0,0,0,0,0,0,0
2.91,Largo,F,No,47,1,0,1,0,1,1,0
6.66,Corto,F,Si,22,0,1,0,0,0,1,0
7.88,Corto,F,Si,25,1,0,0,0,1,1,0
7.53,Largo,M,No,34,1,0,1,0,0,0,1
5.43,Medio,M,Si,49,1,1,0,1,1,1,0
5.71,Largo,M,No,29,1,1,1,0,0,1,0
8.44,Largo,F,No,42,1,0,0,0,1,0,0
2.42,Medio,M,Si,35,1,1,0,0,0,0,0
2.67,Corto,M,Si,20,0,0,0,0,0,0,0
4.03,Medio,M,No,48,0,0,0,0,1,0,0
7.9,Largo,F,Si,42,0,0,0,0,1,0,0
6.44,Medio,F,No,43,0,0,0,0,0,0,0
8.77,Corto,M,Si,42,0,1,1,0,0,1,0
8.49,Largo,M,No,36,0,0,0,0,1,0,0
7.9,Medio,M,No,28,1,0,0,0,1,0,0
2.3,Largo,F,No,37,0,0,0,0,1,0,0
2.14,Medio,M,No,53,0,1,1,0,0,1,1
